Salon,Grupo,Lugar,Semana,Fecha,Alimento,Precio ,Unidades,Observaciónes
3,3,Olimpica_AVJimenez,1,Feb-12,Cebolla ,1300,libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Coliflor,4100,libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Papa ,1600,Libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Tomate,2300,Libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Zanohoria,1100,Libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Fresa,7200,Libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Granadilla,6450,Libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Lulo,2800,Libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Manzana,3900,Libra,NA
3,3,Olimpica_AVJimenez,1,Feb-12,Maracuya,6400,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Cebolla ,1490,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Coliflor,3800,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Papa ,1118,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Tomate,2290,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Zanohoria,1650,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Fresa,6300,Libra,No habia del producto en el dia de su recoleccion pero la cajera dijo que estaba a ese precio.
3,3,Surtifruver_cll58,2,Feb-15,Granadilla,5990,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Lulo,2590,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Manzana,8400,Libra,NA
3,3,Surtifruver_cll58,2,Feb-15,Maracuya,4250,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Cebolla ,1300,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Coliflor,3750,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Papa ,1600,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Tomate,2450,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Zanohoria,1000,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Fresa,3800,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Granadilla,6450,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Lulo,2800,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Manzana,5250,Libra,NA
3,3,Olimpica_Avjimnez,3,Feb-21,Maracuya,4450,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Cebolla ,1090,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Coliflor,5000,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Papa ,1118,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Tomate,2150,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Zanohoria,1490,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Fresa,6600,Libra,No habia del producto en el dia de su recoleccion pero la cajera dijo que estaba a ese precio.
3,3,Surtifruver_cll58,4,Feb-29,Granadilla,3990,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Lulo,2500,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Manzana,8600,Libra,NA
3,3,Surtifruver_cll58,4,Feb-29,Maracuya,2400,Libra,NA
